Image_Name,ID_Fruit,N_Locules
image_1,Fruit_1,3
image_1,Fruit_2,4
image_1,Fruit_3,4
image_1,Fruit_4,3
image_1,Fruit_5,5
image_1,Fruit_6,4
image_1,Fruit_7,4
image_1,Fruit_8,4
image_1,Fruit_9,5
image_1,Fruit_10,4
image_1,Fruit_11,2
image_1,Fruit_12,4
image_1,Fruit_13,4
image_1,Fruit_14,4
image_1,Fruit_15,5
image_1,Fruit_16,3
image_1,Fruit_17,4
image_1,Fruit_18,4
image_1,Fruit_19,3
image_1,Fruit_20,2
image_1,Fruit_21,4
image_1,Fruit_22,3
image_1,Fruit_23,4
image_1,Fruit_24,4
image_1,Fruit_25,4
